/home/ubuntu/autonomous-mission/state/summary.tsv
cycle	started_at	finished_at	status	repositories	open_prs	clean	non_clean	conflicting	unknown	errors
1	2026-08-21T02:59:30.919415+00:00	2026-08-21T03:02:33.733983+00:00	completed	249	303	287	16	0	0	0
2	2026-08-21T03:05:55.086886+00:00	2026-08-21T03:07:51.371301+00:00	completed	217	301	285	16	0	0	0
3	2026-08-21T03:15:22.934936+00:00	2026-08-21T03:16:47.842841+00:00	completed	217	301	285	16	0	0	0
4	2026-08-21T03:34:30.890861+00:00	2026-08-21T03:37:43.514623+00:00	completed	249	302	268	16	0	18	0
5	2026-08-21T04:00:17.013812+00:00	2026-08-21T04:01:51.748197+00:00	completed	217	299	283	16	0	0	0
6	2026-08-21T04:53:48.070948+00:00	2026-08-21T04:55:45.709322+00:00	completed	217	299	276	16	0	7	0
7	2026-08-21T05:48:08.165972+00:00	2026-08-21T05:50:12.355980+00:00	completed	217	299	283	16	0	0	0
8	2026-08-21T07:07:08.704185+00:00	2026-08-21T07:08:32.589618+00:00	completed	218	299	283	16	0	0	0
9	2026-08-21T07:56:43.967139+00:00	2026-08-21T07:58:16.117019+00:00	completed	218	298	279	15	0	4	0
10	2026-08-21T08:58:05.465793+00:00	2026-08-21T09:00:00.960176+00:00	completed	218	299	280	16	0	3	0
11	2026-08-21T09:52:01.502368+00:00	2026-08-21T09:53:39.832722+00:00	completed	218	299	283	16	0	0	0
12	2026-08-21T10:47:23.534164+00:00	2026-08-21T10:49:14.086591+00:00	completed	218	300	283	17	0	0	0
13	2026-08-21T11:41:31.341918+00:00	2026-08-21T11:43:31.799504+00:00	completed	218	300	284	16	0	0	0
14	2026-08-21T15:36:29.862Z	2026-08-21T15:58:29.139Z	completed	0	0	0	0	0	0	0
15	2026-08-22T02:45:44.723036+00:00	2026-08-22T02:48:52.795362+00:00	completed	251	301	282	17	2	0	0
16	2026-08-22T03:37:38.115830+00:00	2026-08-22T03:40:44.524267+00:00	completed	253	307	286	18	2	1	0
17	2026-08-22T04:38:34.562953+00:00	2026-08-22T04:40:54.719989+00:00	completed	254	309	287	18	0	4	0
