cycle	started_at	finished_at	status	repositories	open_prs	clean	non_clean	conflicting	unknown	errors
1	2026-08-21T02:59:30.919415+00:00	2026-08-21T03:02:33.733983+00:00	completed	249	303	287	16	0	0	0
2	2026-08-21T03:05:55.086886+00:00	2026-08-21T03:07:51.371301+00:00	completed	217	301	285	16	0	0	0
3	2026-08-21T03:15:22.934936+00:00	2026-08-21T03:16:47.842841+00:00	completed	217	301	285	16	0	0	0
4	2026-08-21T03:34:30.890861+00:00	2026-08-21T03:37:43.514623+00:00	completed	249	302	268	16	0	18	0
5	2026-08-21T04:00:17.013812+00:00	2026-08-21T04:01:51.748197+00:00	completed	217	299	283	16	0	0	0
6	2026-08-21T04:53:48.070948+00:00	2026-08-21T04:55:45.709322+00:00	completed	217	299	276	16	0	7	0
7	2026-08-21T05:48:08.165972+00:00	2026-08-21T05:50:12.355980+00:00	completed	217	299	283	16	0	0	0
8	2026-08-21T07:07:08.704185+00:00	2026-08-21T07:08:32.589618+00:00	completed	218	299	283	16	0	0	0
9	2026-08-21T07:56:43.967139+00:00	2026-08-21T07:58:16.117019+00:00	completed	218	298	279	15	0	4	0
10	2026-08-21T08:58:05.465793+00:00	2026-08-21T09:00:00.960176+00:00	completed	218	299	280	16	0	3	0
11	2026-08-21T09:52:01.502368+00:00	2026-08-21T09:53:39.832722+00:00	completed	218	299	283	16	0	0	0
12	2026-08-21T10:47:23.534164+00:00	2026-08-21T10:49:14.086591+00:00	completed	218	300	283	17	0	0	0
13	2026-08-21T11:41:31.341918+00:00	2026-08-21T11:43:31.799504+00:00	completed	218	300	284	16	0	0	0
14	2026-08-21T14:07:51.506331+00:00	2026-08-21T14:09:47.333037+00:00	completed	218	301	282	17	2	0	0
15	2026-08-21T14:55:45.277007+00:00	2026-08-21T14:57:46.425446+00:00	completed	218	301	282	16	2	1	0
16	2026-08-21T16:01:45.247352+00:00	2026-08-21T16:03:35.225534+00:00	completed	218	302	282	19	0	1	0
17	2026-08-21T16:54:40.384488+00:00	2026-08-21T16:57:05.840901+00:00	completed	251	304	283	21	0	0	0
18	2026-08-21T17:06:53.113340+00:00	2026-08-21T17:08:48.330855+00:00	completed	218	303	283	20	0	0	0
19	2026-08-21T17:45:02.890773+00:00	2026-08-21T17:46:54.143964+00:00	completed	218	303	285	18	0	0	0
20	2026-08-21T18:56:50.559450+00:00	2026-08-21T18:59:03.331432+00:00	completed	218	304	285	19	0	0	0
21	2026-08-21T19:36:38.438887+00:00	2026-08-21T19:38:08.462391+00:00	completed	218	302	283	19	0	0	0
22	2026-08-21T21:40:25.839953+00:00	2026-08-21T21:42:35.980888+00:00	completed	251	303	284	19	0	0	0
23	2026-08-21T21:48:39.930788+00:00	2026-08-21T21:50:37.876745+00:00	completed	218	303	284	19	0	0	0
24	2026-08-21T21:59:41.114152+00:00	2026-08-21T22:01:41.670505+00:00	completed	218	302	283	19	0	0	0
25	2026-08-21T22:41:18.258954+00:00	2026-08-21T22:43:04.782353+00:00	completed	218	302	283	19	0	0	0
26	2026-08-21T22:48:10.378788+00:00	2026-08-21T22:51:16.450914+00:00	completed	251	302	283	19	0	0	0
27	2026-08-21T23:37:29.960405+00:00	2026-08-21T23:39:26.293394+00:00	completed	218	303	284	19	0	0	0
28	2026-08-22T01:52:43.710940+00:00	2026-08-22T01:52:43.710940+00:00	completed	218	303	284	19	0	0	0
29	2026-08-22T03:45:42.759527+00:00	2026-08-22T03:47:41.966003+00:00	completed	253	306	285	18	2	1	0
30	2026-08-22T04:28:16.392583+00:00	2026-08-22T04:30:17.048031+00:00	completed	254	309	287	22	0	0	0
31	2026-08-22T05:38:09.277392+00:00	2026-08-22T05:40:07.540267+00:00	completed	218	307	285	21	1	0	0
32	2026-08-22T05:47:37.221361+00:00	2026-08-22T05:50:35.295173+00:00	completed	254	304	285	18	1	0	0
33	2026-08-22T06:36:56.136954+00:00	2026-08-22T06:38:38.018764+00:00	completed	218	304	285	19	0	0	0
34	2026-08-22T08:47:26.587708+00:00	2026-08-22T08:48:46.263368+00:00	completed	218	304	286	18	0	0	0
35	2026-08-22T10:28:54.111188+00:00	2026-08-22T10:30:21.539423+00:00	completed	218	303	285	18	0	0	0
36	2026-08-22T10:49:44.923100+00:00	2026-08-22T10:51:30.631736+00:00	completed	218	303	285	18	0	0	0
37	2026-08-22T11:02:23.414271+00:00	2026-08-22T11:03:46.231000+00:00	completed	218	303	285	18	0	0	0
38	2026-08-22T11:42:52.779874+00:00	2026-08-22T11:44:16.012339+00:00	completed	218	303	285	18	0	0	0
39	2026-08-22T13:15:08.157995+00:00	2026-08-22T13:16:58.062556+00:00	completed	218	304	285	17	0	2	0
40	2026-08-22T13:59:16.907237+00:00	2026-08-22T14:01:20.816233+00:00	completed	218	304	285	16	0	3	0
41	2026-08-22T14:42:52.126941+00:00	2026-08-22T14:44:47.165320+00:00	completed	218	304	285	17	2	0	0
42	2026-08-22T15:34:36.339617+00:00	2026-08-22T15:36:17.677105+00:00	completed	218	304	285	17	2	0	0
43	2026-08-22T16:40:03.207404+00:00	2026-08-22T16:41:26.572952+00:00	completed	218	304	285	19	0	0	0
44	2026-08-22T17:35:18.208604+00:00	2026-08-22T17:37:01.189189+00:00	completed	218	304	285	19	0	0	0
45	2026-08-22T18:48:44.878948+00:00	2026-08-22T18:50:12.048817+00:00	completed	218	304	285	19	0	0	0
46	2026-08-22T19:34:54.044067+00:00	2026-08-22T19:36:26.034563+00:00	completed	218	304	285	19	0	0	0
47	2026-08-22T20:39:21.219519+00:00	2026-08-22T20:40:53.544981+00:00	completed	218	304	285	19	0	0	0
48	2026-08-22T21:35:00.280042+00:00	2026-08-22T21:36:59.165528+00:00	completed	218	306	287	19	0	0	0
49	2026-08-22T22:38:08.427907+00:00	2026-08-22T22:40:03.999204+00:00	completed	218	306	287	19	0	0	0
50	2026-08-22T23:34:55.846322+00:00	2026-08-22T23:36:59.210348+00:00	completed	218	306	287	19	0	0	0
51	2026-08-23T01:59:15.049462+00:00	2026-08-23T02:01:07.273075+00:00	completed	218	306	287	19	0	0	0
52	2026-08-23T03:14:56.264117+00:00	2026-08-23T03:16:35.917229+00:00	completed	218	305	287	18	0	0	0
53	2026-08-23T04:02:48.051286+00:00	2026-08-23T04:04:16.765567+00:00	completed	218	309	290	19	0	0	0
54	2026-08-23T04:51:57.498807+00:00	2026-08-23T04:53:39.621864+00:00	completed	219	309	291	18	0	0	0
55	2026-08-23T05:44:38.570151+00:00	2026-08-23T05:46:35.888585+00:00	completed	219	309	291	18	0	0	0
56	2026-08-23T07:01:03.902864+00:00	2026-08-23T07:03:00.363307+00:00	completed	219	310	291	19	0	0	0
57	2026-08-23T07:46:56.164910+00:00	2026-08-23T07:48:18.693715+00:00	completed	219	311	291	20	0	0	0
58	2026-08-23T09:35:34.718849+00:00	2026-08-23T09:37:27.193385+00:00	completed	219	310	291	19	0	0	0
59	2026-08-23T09:52:53.308404+00:00	2026-08-23T09:54:07.793132+00:00	completed	219	309	291	16	0	2	0
60	2026-08-23T11:06:44.371011+00:00	2026-08-23T11:08:11.590485+00:00	completed	219	310	291	19	0	0	0
61	2026-08-23T11:38:47.514137+00:00	2026-08-23T11:40:45.332340+00:00	completed	219	310	291	19	0	0	0
62	2026-08-23T13:01:41.448072+00:00	2026-08-23T13:03:00.452438+00:00	completed	219	310	291	19	0	0	0
63	2026-08-23T13:53:04.045999+00:00	2026-08-23T13:54:32.018223+00:00	completed	219	309	291	16	0	2	0
64	2026-08-23T14:38:41.910976+00:00	2026-08-23T14:40:23.404615+00:00	completed	219	309	291	18	0	0	0
65	2026-08-23T15:37:43.949177+00:00	2026-08-23T15:39:00.357169+00:00	completed	219	309	291	16	0	2	0
66	2026-08-23T16:42:34.324843+00:00	2026-08-23T16:44:08.625473+00:00	completed	219	309	291	16	0	2	0
67	2026-08-23T17:33:59.199315+00:00	2026-08-23T17:35:50.167252+00:00	completed	219	309	291	16	0	2	0
68	2026-08-23T18:49:58.239665+00:00	2026-08-23T18:51:16.488737+00:00	completed	219	309	291	16	0	2	0
69	2026-08-23T19:34:19.306708+00:00	2026-08-23T19:36:03.007046+00:00	completed	219	306	288	18	0	0	0
70	2026-08-23T20:49:17.415859+00:00	2026-08-23T20:51:15.607371+00:00	completed	219	306	288	16	0	2	0
71	2026-08-23T21:35:31.556138+00:00	2026-08-23T21:36:42.753399+00:00	completed	219	308	290	16	0	2	0
72	2026-08-23T22:37:16.345961+00:00	2026-08-23T22:39:09.173919+00:00	completed	219	308	290	18	0	0	0
73	2026-08-23T23:35:21.624713+00:00	2026-08-23T23:36:53.583866+00:00	completed	219	308	290	18	0	0	0
74	2026-08-24T01:57:26.952339+00:00	2026-08-24T01:59:07.185412+00:00	completed	219	308	290	18	0	0	0
75	2026-08-24T03:16:18.626250+00:00	2026-08-24T03:17:46.674844+00:00	completed	219	309	291	18	0	0	0
76	2026-08-24T04:08:45.998627+00:00	2026-08-24T04:10:50.002537+00:00	completed	219	312	294	18	0	0	0
77	2026-08-24T05:01:00.619722+00:00	2026-08-24T05:02:47.065767+00:00	completed	219	312	247	18	0	47	0
78	2026-08-24T05:53:28.352699+00:00	2026-08-24T05:55:19.730872+00:00	completed	219	312	294	18	0	0	0
79	2026-08-24T07:20:34.716215+00:00	2026-08-24T07:22:43.014452+00:00	completed	219	312	294	18	0	0	0
80	2026-08-24T09:10:20.334997+00:00	2026-08-24T09:11:47.484327+00:00	completed	219	312	294	16	0	2	0
81	2026-08-24T10:06:21.329493+00:00	2026-08-24T10:08:10.369182+00:00	completed	219	312	294	16	0	2	0
82	2026-08-24T10:59:48.893159+00:00	2026-08-24T11:01:31.006387+00:00	completed	219	312	294	16	0	2	0
83	2026-08-24T11:59:49.786287+00:00	2026-08-24T12:01:24.716969+00:00	completed	219	312	294	16	0	2	0
84	2026-08-24T13:12:36.439602+00:00	2026-08-24T13:14:22.010112+00:00	completed	219	312	294	16	0	2	0
85	2026-08-24T14:02:39.842071+00:00	2026-08-24T14:04:29.200187+00:00	completed	219	312	294	18	0	0	0
86	2026-08-24T14:59:44.951399+00:00	2026-08-24T15:01:23.247255+00:00	completed	219	312	294	18	0	0	0
87	2026-08-24T15:55:21.449984+00:00	2026-08-24T15:57:29.681562+00:00	completed	219	312	294	18	0	0	0
88	2026-08-24T16:54:45.904172+00:00	2026-08-24T16:56:31.729577+00:00	completed	219	312	294	18	0	0	0
89	2026-08-24T17:46:39.001675+00:00	2026-08-24T17:48:56.229675+00:00	completed	219	312	294	18	0	0	0
90	2026-08-24T18:59:05.425585+00:00	2026-08-24T19:01:05.697624+00:00	completed	219	312	294	18	0	0	0
91	2026-08-24T19:44:53.069546+00:00	2026-08-24T19:46:44.677124+00:00	completed	219	309	291	18	0	0	0
92	2026-08-24T20:48:03.484452+00:00	2026-08-24T20:49:57.488535+00:00	completed	219	309	291	18	0	0	0
93	2026-08-24T21:43:44.829634+00:00	2026-08-24T21:45:29.892492+00:00	completed	219	311	293	18	0	0	0
94	2026-08-24T22:43:48.509689+00:00	2026-08-24T22:45:28.658387+00:00	completed	219	266	248	18	0	0	1
95	2026-08-24T23:34:43.985403+00:00	2026-08-24T23:36:40.909212+00:00	completed	219	311	293	18	0	0	0
96	2026-08-25T01:52:03.714441+00:00	2026-08-25T01:53:37.650227+00:00	completed	219	311	293	18	0	0	0
97	2026-08-25T03:12:41.628491+00:00	2026-08-25T03:14:23.422962+00:00	completed	219	312	294	18	0	0	0
98	2026-08-25T03:59:35.850011+00:00	2026-08-25T04:01:43.681187+00:00	completed	219	314	296	18	0	0	0
99	2026-08-25T04:53:17.766043+00:00	2026-08-25T04:55:14.963713+00:00	completed	219	315	249	18	0	48	0
100	2026-08-25T05:47:59.451957+00:00	2026-08-25T05:50:06.003460+00:00	completed	219	315	297	18	0	0	0
101	2026-08-25T07:08:28.612580+00:00	2026-08-25T07:10:44.304575+00:00	completed	219	315	297	18	0	0	0
102	2026-08-25T07:58:01.980109+00:00	2026-08-25T07:59:40.780081+00:00	completed	219	315	297	18	0	0	0
103	2026-08-25T08:59:48.252219+00:00	2026-08-25T09:02:32.342414+00:00	completed	219	315	297	18	0	0	0
104	2026-08-25T09:51:08.114196+00:00	2026-08-25T09:53:05.635919+00:00	completed	219	316	297	19	0	0	0
105	2026-08-25T10:49:18.870157+00:00	2026-08-25T10:51:14.353621+00:00	completed	219	316	297	19	0	0	0
106	2026-08-25T11:43:24.001507+00:00	2026-08-25T11:44:59.995936+00:00	completed	219	316	297	19	0	0	0
107	2026-08-25T13:11:24.098732+00:00	2026-08-25T13:13:27.345150+00:00	completed	219	316	297	19	0	0	0
108	2026-08-25T14:03:38.817456+00:00	2026-08-25T14:05:39.234964+00:00	completed	219	316	297	19	0	0	0
109	2026-08-25T15:05:14.567210+00:00	2026-08-25T15:07:05.480280+00:00	completed	219	316	297	19	0	0	0
110	2026-08-25T15:59:52.439907+00:00	2026-08-25T16:02:03.751188+00:00	completed	219	316	297	19	0	0	0
111	2026-08-25T16:54:51.059499+00:00	2026-08-25T16:56:49.372273+00:00	completed	219	316	297	19	0	0	0
112	2026-08-25T17:45:27.582581+00:00	2026-08-25T17:47:25.797244+00:00	completed	220	317	298	19	0	0	0
113	2026-08-25T18:56:35.166148+00:00	2026-08-25T18:58:19.068232+00:00	completed	220	316	297	19	0	0	0
114	2026-08-29T08:25:08.757200+00:00	2026-08-29T08:27:07.701990+00:00	completed	264	321	251	23	1	46	0
115	2026-08-29T09:02:35.157284+00:00	2026-08-29T09:05:08.088495+00:00	completed	264	327	272	18	33	4	0
116	2026-08-29T14:28:22.417328+00:00	2026-08-29T14:31:02.338223+00:00	completed	264	328	277	18	33	0	0
117	2026-08-29T18:28:37.146043+00:00	2026-08-29T18:30:52.700844+00:00	completed	264	327	264	18	2	43	0
118	2026-08-29T21:43:54.380371+00:00	2026-08-29T21:45:33.216425+00:00	completed	264	286	267	18	1	0	0
119	2026-08-30T00:19:37.233578+00:00	2026-08-30T00:21:34.938046+00:00	completed	264	286	267	18	1	0	0
120	2026-08-30T06:39:35.713187+00:00	2026-08-30T06:41:16.585091+00:00	completed	264	288	269	18	1	0	0
121	2026-08-30T12:53:27.136934+00:00	2026-08-30T12:55:43.811586+00:00	completed	264	288	263	18	1	6	0
